# ArrayNum  Uncal_E  Err Energies
       32 0.3911510.0589386  244.697
       32 0.3911510.0589386  344.279
       32 0.3911510.0589386  443.965
       32 0.3911510.0589386  778.904
       32 0.3911510.0589386  867.373
       32 0.3911510.0589386  964.079
       32 0.3911510.0589386  1112.07
       32 0.3911510.0589386  1299.14
       32 0.3911510.0589386  1408.01
       33  1.06899 0.079013  121.782
       33  1.06899 0.079013  244.697
       33  1.06899 0.079013  344.279
       33  1.06899 0.079013  443.965
       33  1.06899 0.079013  778.904
       33  1.06899 0.079013  867.373
       33  1.06899 0.079013  964.079
       33  1.06899 0.079013  1112.07
       33  1.06899 0.079013  1299.14
       33  1.06899 0.079013  1408.01
       34-0.03347970.0874305  121.782
       34-0.03347970.0874305  244.697
       34-0.03347970.0874305  344.279
       34-0.03347970.0874305  443.965
       34-0.03347970.0874305  778.904
       34-0.03347970.0874305  867.373
       34-0.03347970.0874305  964.079
       34-0.03347970.0874305  1112.07
       34-0.03347970.0874305  1299.14
       34-0.03347970.0874305  1408.01
       35 0.233181 0.115132  121.782
       35 0.233181 0.115132  244.697
       35 0.233181 0.115132  344.279
       35 0.233181 0.115132  443.965
       35 0.233181 0.115132  778.904
       35 0.233181 0.115132  867.373
       35 0.233181 0.115132  964.079
       35 0.233181 0.115132  1112.07
       35 0.233181 0.115132  1299.14
       35 0.233181 0.115132  1408.01
       36 0.1236550.0629036  121.782
       36 0.1236550.0629036  244.697
       36 0.1236550.0629036  344.279
       36 0.1236550.0629036  443.965
       36 0.1236550.0629036  778.904
       36 0.1236550.0629036  867.373
       36 0.1236550.0629036  964.079
       36 0.1236550.0629036  1112.07
       36 0.1236550.0629036  1299.14
       36 0.1236550.0629036  1408.01
       37 -1.51304 0.035196  121.782
       37 -1.51304 0.035196  244.697
       37 -1.51304 0.035196  344.279
       37 -1.51304 0.035196  443.965
       37 -1.51304 0.035196  778.904
       37 -1.51304 0.035196  867.373
       37 -1.51304 0.035196  964.079
       37 -1.51304 0.035196  1112.07
       37 -1.51304 0.035196  1299.14
       37 -1.51304 0.035196  1408.01
       38  23.69020.0155165  121.782
       38  23.69020.0155165  244.697
       38  23.69020.0155165  344.279
       38  23.69020.0155165  443.965
       38  23.69020.0155165  778.904
       38  23.69020.0155165  867.373
       38  23.69020.0155165  964.079
       38  23.69020.0155165  1112.07
       38  23.69020.0155165  1299.14
       38  23.69020.0155165  1408.01
       39 0.585242 0.164517  121.782
       39 0.585242 0.164517  244.697
       39 0.585242 0.164517  344.279
       39 0.585242 0.164517  443.965
       39 0.585242 0.164517  778.904
       39 0.585242 0.164517  867.373
       39 0.585242 0.164517  964.079
       39 0.585242 0.164517  1112.07
       39 0.585242 0.164517  1299.14
       39 0.585242 0.164517  1408.01
       40 0.5254690.0208809  121.782
       40 0.5254690.0208809  244.697
       40 0.5254690.0208809  344.279
       40 0.5254690.0208809  443.965
       40 0.5254690.0208809  778.904
       40 0.5254690.0208809  867.373
       40 0.5254690.0208809  964.079
       40 0.5254690.0208809  1112.07
       40 0.5254690.0208809  1299.14
       40 0.5254690.0208809  1408.01
       41-0.0005989950.0254764  121.782
       41-0.0005989950.0254764  244.697
       41-0.0005989950.0254764  344.279
       41-0.0005989950.0254764  443.965
       41-0.0005989950.0254764  778.904
       41-0.0005989950.0254764  867.373
       41-0.0005989950.0254764  964.079
       41-0.0005989950.0254764  1112.07
       41-0.0005989950.0254764  1299.14
       41-0.0005989950.0254764  1408.01
       42-0.07530560.0284964  121.782
       42-0.07530560.0284964  244.697
       42-0.07530560.0284964  344.279
       42-0.07530560.0284964  443.965
       42-0.07530560.0284964  778.904
       42-0.07530560.0284964  867.373
       42-0.07530560.0284964  964.079
       42-0.07530560.0284964  1112.07
       42-0.07530560.0284964  1299.14
       42-0.07530560.0284964  1408.01
       43-0.04587610.0276891  121.782
       43-0.04587610.0276891  244.697
       43-0.04587610.0276891  344.279
       43-0.04587610.0276891  443.965
       43-0.04587610.0276891  778.904
       43-0.04587610.0276891  867.373
       43-0.04587610.0276891  964.079
       43-0.04587610.0276891  1112.07
       43-0.04587610.0276891  1299.14
       43-0.04587610.0276891  1408.01
       44 0.229983 0.128535  121.782
       44 0.229983 0.128535  244.697
       44 0.229983 0.128535  344.279
       44 0.229983 0.128535  443.965
       44 0.229983 0.128535  778.904
       44 0.229983 0.128535  867.373
       44 0.229983 0.128535  964.079
       44 0.229983 0.128535  1112.07
       44 0.229983 0.128535  1299.14
       44 0.229983 0.128535  1408.01
       45  1.04157 0.220198  121.782
       45  1.04157 0.220198  244.697
       45  1.04157 0.220198  344.279
       45  1.04157 0.220198  443.965
       45  1.04157 0.220198  778.904
       45  1.04157 0.220198  867.373
       45  1.04157 0.220198  964.079
       45  1.04157 0.220198  1112.07
       45  1.04157 0.220198  1299.14
       45  1.04157 0.220198  1408.01
       46 0.3838460.0726933  121.782
       46 0.3838460.0726933  244.697
       46 0.3838460.0726933  344.279
       46 0.3838460.0726933  443.965
       46 0.3838460.0726933  778.904
       46 0.3838460.0726933  867.373
       46 0.3838460.0726933  964.079
       46 0.3838460.0726933  1112.07
       46 0.3838460.0726933  1299.14
       46 0.3838460.0726933  1408.01
       47 0.683078 0.100879  121.782
       47 0.683078 0.100879  244.697
       47 0.683078 0.100879  344.279
       47 0.683078 0.100879  443.965
       47 0.683078 0.100879  778.904
       47 0.683078 0.100879  867.373
       47 0.683078 0.100879  964.079
       47 0.683078 0.100879  1112.07
       47 0.683078 0.100879  1299.14
       47 0.683078 0.100879  1408.01
       48-0.02162650.0120201  121.782
       48-0.02162650.0120201  244.697
       48-0.02162650.0120201  344.279
       48-0.02162650.0120201  443.965
       48-0.02162650.0120201  778.904
       48-0.02162650.0120201  867.373
       48-0.02162650.0120201  964.079
       48-0.02162650.0120201  1112.07
       48-0.02162650.0120201  1299.14
