# ArrayNum  Uncal_E  Err Energies
       16-0.1323750.00278946  846.771
       16-0.1323750.00278946  1037.84
       16-0.1323750.00278946  1238.28
       16-0.1323750.00278946  1771.35
       16-0.1323750.00278946  2034.76
       16-0.1323750.00278946  2598.46
       16-0.1323750.00278946  3201.96
       16-0.1323750.00278946  3253.42
       16-0.1323750.00278946  3272.99
       16-0.1323750.00278946  3451.15
       16-0.1323750.00278946  3547.93
       17-0.5436350.00756884  846.771
       17-0.5436350.00756884  1037.84
       17-0.5436350.00756884  1238.28
       17-0.5436350.00756884  1771.35
       17-0.5436350.00756884  2034.76
       17-0.5436350.00756884  2598.46
       17-0.5436350.00756884  3201.96
       17-0.5436350.00756884  3253.42
       17-0.5436350.00756884  3272.99
       17-0.5436350.00756884  3451.15
       17-0.5436350.00756884  3547.93
       18 0.1348280.00308814  846.771
       18 0.1348280.00308814  1037.84
       18 0.1348280.00308814  1238.28
       18 0.1348280.00308814  1771.35
       18 0.1348280.00308814  2034.76
       18 0.1348280.00308814  2598.46
       18 0.1348280.00308814  3201.96
       18 0.1348280.00308814  3253.42
       18 0.1348280.00308814  3272.99
       18 0.1348280.00308814  3451.15
       18 0.1348280.00308814  3547.93
       19-0.3247890.00618042  846.771
       19-0.3247890.00618042  1037.84
       19-0.3247890.00618042  1238.28
       19-0.3247890.00618042  1771.35
       19-0.3247890.00618042  2034.76
       19-0.3247890.00618042  2598.46
       19-0.3247890.00618042  3201.96
       19-0.3247890.00618042  3253.42
       19-0.3247890.00618042  3272.99
       19-0.3247890.00618042  3451.15
       19-0.3247890.00618042  3547.93
       20 0.7959450.0134327  846.771
       20 0.7959450.0134327  1037.84
       20 0.7959450.0134327  1238.28
       20 0.7959450.0134327  1771.35
       20 0.7959450.0134327  2034.76
       20 0.7959450.0134327  2598.46
       20 0.7959450.0134327  3201.96
       20 0.7959450.0134327  3253.42
       20 0.7959450.0134327  3272.99
       20 0.7959450.0134327  3451.15
       20 0.7959450.0134327  3547.93
       21 0.6106880.00629693  846.771
       21 0.6106880.00629693  1037.84
       21 0.6106880.00629693  1238.28
       21 0.6106880.00629693  1771.35
       21 0.6106880.00629693  2034.76
       21 0.6106880.00629693  2598.46
       21 0.6106880.00629693  3201.96
       21 0.6106880.00629693  3253.42
       21 0.6106880.00629693  3272.99
       21 0.6106880.00629693  3451.15
       21 0.6106880.00629693  3547.93
       22 0.2635140.00858085  846.771
       22 0.2635140.00858085  1037.84
       22 0.2635140.00858085  1238.28
       22 0.2635140.00858085  1771.35
       22 0.2635140.00858085  2034.76
       22 0.2635140.00858085  2598.46
       22 0.2635140.00858085  3201.96
       22 0.2635140.00858085  3253.42
